customer_id,customer_name,city,total_deposits,total_accounts
CUSN2LWQV1UR1PY,"Jeanette Jenkins","South Laura",998074.92,7
CUSM3X4B2DTTNOO,"Brianna Morgan",Schwartzhaven,932783.59,7
CUSVFI1KMDWBWNP,"Jose Price","South Andrea",888434.52,7
CUSXVL4YRQRDZHJ,"Steven Wood","North Debrahaven",859286.03,6
CUSHMDV47IQRPIC,"Andrew Reed","East Ryanside",851916.54,5
CUSXZQ1CMIR3SZO,"Andrew Rivera",Evanberg,813892.50,5
CUSJZOO7RDNSDA5,"Tracey Watkins",Sloanfort,802972.88,5
CUS2GQKS6PF14NA,"David Le","Port Brandon",797274.62,6
CUSPS40334X0ZE4,"Mark Long",Andersonbury,794542.01,6
CUSRYJAJZ6WQ5I2,"Jacob Lucas","South Christopherview",788335.98,6
CUSB1GKOAQRJIMW,"Jessica Hahn","North Marc",786075.94,5
CUS7L3KXQY0XKEG,"Tyler Zhang","West Julian",783925.68,6
CUSKWNHRDIQAZBH,"Bailey Howell","West Sarah",783118.57,5
CUS50SZY6T73XEG,"Emma Franklin","Lake Lisa",774261.38,7
CUS0CTX4QY1PB8Q,"Larry Clark",Hardinport,771296.23,6
CUS7KS9VC9VBCMK,"Randy Bell",Julietown,770164.51,5
CUS46E3VXV0TRPV,"Crystal Walker","New Lori",769988.56,7
CUSZY7ZX545H3G7,"Michelle Stuart",Nicolefort,769704.18,6
CUSES5FR2IWONRX,"Alejandro Davis","New Williambury",765904.79,6
CUS5G2OGLTDNDMC,"Diana Sloan","East Kelli",764987.86,5
CUSS8UUXIWZ8LYT,"Anthony Smith","Lake Bryceside",753809.26,5
CUSR54C0LC19048,"Meagan Carter","South Susanburgh",752935.57,6
CUSVP40J170LG7G,"Angela Reed","Port Ryan",751896.91,5
CUSLP6I1IV1BJVD,"Stephanie Nichols","South Amychester",750938.89,5
CUSAN0OY7GZU2NK,"Jermaine Ross",Jennifertown,750393.67,5
CUSJW2MM33CG849,"Caitlyn Price",Valerieberg,749757.64,5
CUSEXSRMDZJC05A,"Jason Ross",Jeffreyport,748529.16,6
CUSFJS9PB6447KR,"Taylor Cole","North Johnchester",743236.69,5
CUSL9FW6LIOGFQJ,"Bobby Martinez",Randyland,736551.13,5
CUSLYSU18EFGH3J,"Sarah Bird","West Lisa",736526.14,5
CUSBPJ7ZKHGF6OO,"Dawn Burke",Jenniferland,735689.26,6
CUS5OLATIJ80H8S,"Nicole Johnson","East Bradley",735499.40,5
CUSDCONZ7Q9XD50,"John Pratt",Branchland,733230.85,6
CUS4G617BLTXRE3,"Arthur Smith","North Christopher",731968.03,7
