customer_id,customer_name,total_loans,total_loan_exposure,average_loan_amount,largest_single_loan
CUSYBG0PBC27EAS,"Erica Baker",6,1123514.67,187252.45,291283.33
CUSA2YA9PLX5W5K,"Ethan Rodriguez",4,1010518.24,252629.56,298044.49
CUST5290S2MIRYR,"Nancy Hernandez",4,978201.47,244550.37,299045.91
CUSPORUG0V6A71N,"Brian Taylor",4,972512.87,243128.22,285190.44
CUSMX92M9VM90EI,"Nathan Alvarado",4,958563.60,239640.90,297573.03
CUSIGN7DG56ER0X,"Jennifer Johnson",6,953273.77,158878.96,269287.88
CUSX9CT17KVHTKL,"Rachel Pena",5,926457.34,185291.47,255547.37
CUSZQP07G7XR8AD,"Barry Crane",4,913251.84,228312.96,269148.01
CUSH5GOH2M9BMDI,"Joseph Le",4,902852.46,225713.12,257321.51
CUS6TIDFXYBMJW1,"Julie Estes",4,899039.30,224759.83,282974.17
